amiiboSeries,character,gameSeries,head,image,name,release,tail,type
Animal Crossing,Peck,Animal Crossing,230,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_023e0001-00d10502.png,Peck,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-10-29', 'na': '2016-01-22'}",00d10502,Card
Animal Crossing,Sparro,Animal Crossing,023f0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_023f0001-01660502.png,Sparro,"{'au': '2016-03-19', 'eu': '2016-03-18', 'jp': '2016-01-14', 'na': '2016-03-18'}",1660502,Card
Animal Crossing,Angus,Animal Crossing,024a0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_024a0001-01d10502.png,Angus,"{'au': '2016-06-18', 'eu': None, 'jp': '2016-03-24', 'na': '2016-06-10'}",01d10502,Card
Animal Crossing,Rodeo,Animal Crossing,024b0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_024b0001-01260502.png,Rodeo,"{'au': '2016-03-19', 'eu': '2016-03-18', 'jp': '2016-01-14', 'na': '2016-03-18'}",1260502,Card
Animal Crossing,Stu,Animal Crossing,024d0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_024d0001-02f60502.png,Stu,"{'au': '2016-11-10', 'eu': '2016-11-11', 'jp': '2016-11-03', 'na': '2016-12-02'}",02f60502,Card
Animal Crossing,T-Bone,Animal Crossing,024f0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_024f0001-00810502.png,T-Bone,"{'au': '2015-10-03', 'eu': '2015-10-02', 'jp': '2015-07-30', 'na': '2015-09-25'}",810502,Card
Animal Crossing,Coach,Animal Crossing,2510001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02510001-00c10502.png,Coach,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-10-29', 'na': '2016-01-22'}",00c10502,Card
Animal Crossing,Vic,Animal Crossing,2520001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02520001-00fe0502.png,Vic,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-10-29', 'na': '2016-01-22'}",00fe0502,Card
Animal Crossing,Bob,Animal Crossing,025d0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_025d0001-00550502.png,Bob,"{'au': '2015-10-03', 'eu': '2015-10-02', 'jp': '2015-07-30', 'na': '2015-09-25'}",550502,Card
Animal Crossing,Mitzi,Animal Crossing,250,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_025e0001-01250502.png,Mitzi,"{'au': '2016-03-19', 'eu': '2016-03-18', 'jp': '2016-01-14', 'na': '2016-03-18'}",1250502,Card
Animal Crossing,Rosie,Animal Crossing,025f0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_025f0001-01c50502.png,Rosie,"{'au': '2016-06-18', 'eu': None, 'jp': '2016-03-24', 'na': '2016-06-10'}",01c50502,Card
Animal Crossing,Rosie,Animal Crossing,025f0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_025f0001-01d70502.png,Rosie - Amiibo Festival,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-11-21', 'na': '2015-11-13'}",01d70502,Card
Animal Crossing,Olivia,Animal Crossing,2600001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02600001-00d20502.png,Olivia,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-10-29', 'na': '2016-01-22'}",00d20502,Card
Animal Crossing,Kiki,Animal Crossing,2610001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02610001-00650502.png,Kiki,"{'au': '2015-10-03', 'eu': '2015-10-02', 'jp': '2015-07-30', 'na': '2015-09-25'}",650502,Card
Animal Crossing,Tangy,Animal Crossing,2620001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02620001-01370502.png,Tangy,"{'au': '2016-03-19', 'eu': '2016-03-18', 'jp': '2016-01-14', 'na': '2016-03-18'}",1370502,Card
Animal Crossing,Punchy,Animal Crossing,2630001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02630001-00750502.png,Punchy,"{'au': '2015-10-03', 'eu': '2015-10-02', 'jp': '2015-07-30', 'na': '2015-09-25'}",750502,Card
Animal Crossing,Purrl,Animal Crossing,2640001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02640001-01ac0502.png,Purrl,"{'au': '2016-06-18', 'eu': None, 'jp': '2016-03-24', 'na': '2016-06-10'}",01ac0502,Card
Animal Crossing,Moe,Animal Crossing,2650001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02650001-01540502.png,Moe,"{'au': '2016-03-19', 'eu': '2016-03-18', 'jp': '2016-01-14', 'na': '2016-03-18'}",1540502,Card
Animal Crossing,Kabuki,Animal Crossing,2660001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02660001-00680502.png,Kabuki,"{'au': '2015-10-03', 'eu': '2015-10-02', 'jp': '2015-07-30', 'na': '2015-09-25'}",680502,Card
Animal Crossing,Kid Cat,Animal Crossing,2670001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02670001-01080502.png,Kid Cat,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-10-29', 'na': '2016-01-22'}",1080502,Card
Animal Crossing,Monique,Animal Crossing,2680001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02680001-007d0502.png,Monique,"{'au': '2015-10-03', 'eu': '2015-10-02', 'jp': '2015-07-30', 'na': '2015-09-25'}",007d0502,Card
Animal Crossing,Tabby,Animal Crossing,2690001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02690001-011f0502.png,Tabby,"{'au': '2016-03-19', 'eu': '2016-03-18', 'jp': '2016-01-14', 'na': '2016-03-18'}",011f0502,Card
Animal Crossing,Stinky,Animal Crossing,026a0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_026a0001-01460502.png,Stinky,"{'au': '2016-03-19', 'eu': '2016-03-18', 'jp': '2016-01-14', 'na': '2016-03-18'}",1460502,Card
Animal Crossing,Kitty,Animal Crossing,026b0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_026b0001-00e90502.png,Kitty,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-10-29', 'na': '2016-01-22'}",0,Card
Animal Crossing,Tom,Animal Crossing,026c0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_026c0001-00c30502.png,Tom,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-10-29', 'na': '2016-01-22'}",00c30502,Card
Animal Crossing,Merry,Animal Crossing,026d0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_026d0001-013f0502.png,Merry,"{'au': '2016-03-19', 'eu': '2016-03-18', 'jp': '2016-01-14', 'na': '2016-03-18'}",013f0502,Card
Animal Crossing,Felicity,Animal Crossing,260,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_026e0001-00ba0502.png,Felicity,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-10-29', 'na': '2016-01-22'}",00ba0502,Card
Animal Crossing,Lolly,Animal Crossing,026f0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_026f0001-01900502.png,Lolly,"{'au': '2016-06-18', 'eu': None, 'jp': '2016-03-24', 'na': '2016-06-10'}",1900502,Card
Animal Crossing,Ankha,Animal Crossing,2700001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02700001-00ff0502.png,Ankha,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-10-29', 'na': '2016-01-22'}",00ff0502,Card
Animal Crossing,Rudy,Animal Crossing,2710001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02710001-019b0502.png,Rudy,"{'au': '2016-06-18', 'eu': None, 'jp': '2016-03-24', 'na': '2016-06-10'}",019b0502,Card
Animal Crossing,Katt,Animal Crossing,2720001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02720001-01860502.png,Katt,"{'au': '2016-06-18', 'eu': None, 'jp': '2016-03-24', 'na': '2016-06-10'}",1860502,Card
Animal Crossing,Bluebear,Animal Crossing,027d0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_027d0001-00630502.png,Bluebear,"{'au': '2015-10-03', 'eu': '2015-10-02', 'jp': '2015-07-30', 'na': '2015-09-25'}",630502,Card
Animal Crossing,Maple,Animal Crossing,270,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_027e0001-01690502.png,Maple,"{'au': '2016-03-19', 'eu': '2016-03-18', 'jp': '2016-01-14', 'na': '2016-03-18'}",1690502,Card
Animal Crossing,Poncho,Animal Crossing,027f0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_027f0001-00b90502.png,Poncho,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-10-29', 'na': '2016-01-22'}",00b90502,Card
Animal Crossing,Pudge,Animal Crossing,2800001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02800001-00830502.png,Pudge,"{'au': '2015-10-03', 'eu': '2015-10-02', 'jp': '2015-07-30', 'na': '2015-09-25'}",830502,Card
Animal Crossing,Kody,Animal Crossing,2810001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02810001-01200502.png,Kody,"{'au': '2016-03-19', 'eu': '2016-03-18', 'jp': '2016-01-14', 'na': '2016-03-18'}",1200502,Card
Animal Crossing,Stitches,Animal Crossing,2820001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02820001-01810502.png,Stitches,"{'au': '2016-06-18', 'eu': None, 'jp': '2016-03-24', 'na': '2016-06-10'}",1810502,Card
Animal Crossing,Stitches,Animal Crossing,2820001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02820001-01d60502.png,Stitches - Amiibo Festival,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-11-21', 'na': '2015-11-13'}",01d60502,Card
Animal Crossing,Vladimir,Animal Crossing,2830001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02830001-00c70502.png,Vladimir,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-10-29', 'na': '2016-01-22'}",00c70502,Card
Animal Crossing,Murphy,Animal Crossing,2840001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02840001-02fe0502.png,Murphy,"{'au': '2016-11-10', 'eu': '2016-11-11', 'jp': '2016-11-03', 'na': '2016-12-02'}",02fe0502,Card
Animal Crossing,Olive,Animal Crossing,2860001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02860001-03130502.png,Olive,"{'au': '2016-11-10', 'eu': '2016-11-11', 'jp': '2016-11-03', 'na': '2016-12-02'}",3130502,Card
Animal Crossing,Cheri,Animal Crossing,2870001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02870001-005a0502.png,Cheri,"{'au': '2015-10-03', 'eu': '2015-10-02', 'jp': '2015-07-30', 'na': '2015-09-25'}",005a0502,Card
Animal Crossing,June,Animal Crossing,028a0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_028a0001-02e90502.png,June,"{'au': '2016-11-10', 'eu': '2016-11-11', 'jp': '2016-11-03', 'na': '2016-12-02'}",02e90502,Card
Animal Crossing,Pekoe,Animal Crossing,028b0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_028b0001-00e30502.png,Pekoe,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-10-29', 'na': '2016-01-22'}",0,Card
Animal Crossing,Chester,Animal Crossing,028c0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_028c0001-013e0502.png,Chester,"{'au': '2016-03-19', 'eu': '2016-03-18', 'jp': '2016-01-14', 'na': '2016-03-18'}",013e0502,Card
Animal Crossing,Barold,Animal Crossing,028d0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_028d0001-01bd0502.png,Barold,"{'au': '2016-06-18', 'eu': None, 'jp': '2016-03-24', 'na': '2016-06-10'}",01bd0502,Card
Animal Crossing,Tammy,Animal Crossing,280,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_028e0001-019e0502.png,Tammy,"{'au': '2016-06-18', 'eu': None, 'jp': '2016-03-24', 'na': '2016-06-10'}",019e0502,Card
Animal Crossing,Marty,Animal Crossing,028f0101,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_028f0101-031a0502.png,Marty,"{'au': None, 'eu': '2016-11-25', 'jp': '2016-11-03', 'na': None}",031a0502,Card
Animal Crossing,Goose,Animal Crossing,2990001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02990001-00950502.png,Goose,"{'au': '2015-10-03', 'eu': '2015-10-02', 'jp': '2015-07-30', 'na': '2015-09-25'}",950502,Card
Animal Crossing,Benedict,Animal Crossing,029a0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_029a0001-00ee0502.png,Benedict,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-10-29', 'na': '2016-01-22'}",00ee0502,Card
Animal Crossing,Egbert,Animal Crossing,029b0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_029b0001-00cb0502.png,Egbert,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-10-29', 'na': '2016-01-22'}",00cb0502,Card
Animal Crossing,Ava,Animal Crossing,290,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_029e0001-013d0502.png,Ava,"{'au': '2016-03-19', 'eu': '2016-03-18', 'jp': '2016-01-14', 'na': '2016-03-18'}",013d0502,Card
Animal Crossing,Becky,Animal Crossing,02a20001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02a20001-01ba0502.png,Becky,"{'au': '2016-06-18', 'eu': None, 'jp': '2016-03-24', 'na': '2016-06-10'}",01ba0502,Card
Animal Crossing,Plucky,Animal Crossing,02a30001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02a30001-02ff0502.png,Plucky,"{'au': '2016-11-10', 'eu': '2016-11-11', 'jp': '2016-11-03', 'na': '2016-12-02'}",02ff0502,Card
Animal Crossing,Knox,Animal Crossing,02a40001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02a40001-00720502.png,Knox,"{'au': '2015-10-03', 'eu': '2015-10-02', 'jp': '2015-07-30', 'na': '2015-09-25'}",720502,Card
Animal Crossing,Broffina,Animal Crossing,02a50001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02a50001-018c0502.png,Broffina,"{'au': '2016-06-18', 'eu': None, 'jp': '2016-03-24', 'na': '2016-06-10'}",018c0502,Card
Animal Crossing,Ken,Animal Crossing,02a60001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02a60001-01240502.png,Ken,"{'au': '2016-03-19', 'eu': '2016-03-18', 'jp': '2016-01-14', 'na': '2016-03-18'}",1240502,Card
Animal Crossing,Patty,Animal Crossing,02b10001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02b10001-00690502.png,Patty,"{'au': '2015-10-03', 'eu': '2015-10-02', 'jp': '2015-07-30', 'na': '2015-09-25'}",690502,Card
Animal Crossing,Tipper,Animal Crossing,02b20001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02b20001-00c40502.png,Tipper,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-10-29', 'na': '2016-01-22'}",00c40502,Card
Animal Crossing,Norma,Animal Crossing,02b70001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02b70001-030f0502.png,Norma,"{'au': '2016-11-10', 'eu': '2016-11-11', 'jp': '2016-11-03', 'na': '2016-12-02'}",030f0502,Card
Animal Crossing,Naomi,Animal Crossing,02b80001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02b80001-019c0502.png,Naomi,"{'au': '2016-06-18', 'eu': None, 'jp': '2016-03-24', 'na': '2016-06-10'}",019c0502,Card
Animal Crossing,Alfonso,Animal Crossing,02c30001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02c30001-00dc0502.png,Alfonso,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-10-29', 'na': '2016-01-22'}",00dc0502,Card
Animal Crossing,Alli,Animal Crossing,02c40001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02c40001-00670502.png,Alli,"{'au': '2015-10-03', 'eu': '2015-10-02', 'jp': '2015-07-30', 'na': '2015-09-25'}",670502,Card
Animal Crossing,Boots,Animal Crossing,02c50001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02c50001-03080502.png,Boots,"{'au': '2016-11-10', 'eu': '2016-11-11', 'jp': '2016-11-03', 'na': '2016-12-02'}",3080502,Card
Animal Crossing,Del,Animal Crossing,02c70001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02c70001-01220502.png,Del,"{'au': '2016-03-19', 'eu': '2016-03-18', 'jp': '2016-01-14', 'na': '2016-03-18'}",1220502,Card
Animal Crossing,Sly,Animal Crossing,02c90001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02c90001-00cd0502.png,Sly,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-10-29', 'na': '2016-01-22'}",00cd0502,Card
Animal Crossing,Gayle,Animal Crossing,02ca0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02ca0001-01ca0502.png,Gayle,"{'au': '2016-06-18', 'eu': None, 'jp': '2016-03-24', 'na': '2016-06-10'}",01ca0502,Card
Animal Crossing,Drago,Animal Crossing,02cb0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02cb0001-01360502.png,Drago,"{'au': '2016-03-19', 'eu': '2016-03-18', 'jp': '2016-01-14', 'na': '2016-03-18'}",1360502,Card
Animal Crossing,Fauna,Animal Crossing,02d60001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02d60001-00560502.png,Fauna,"{'au': '2015-10-03', 'eu': '2015-10-02', 'jp': '2015-07-30', 'na': '2015-09-25'}",560502,Card
Animal Crossing,Bam,Animal Crossing,02d70001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02d70001-01300502.png,Bam,"{'au': '2016-03-19', 'eu': '2016-03-18', 'jp': '2016-01-14', 'na': '2016-03-18'}",1300502,Card
Animal Crossing,Zell,Animal Crossing,02d80001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02d80001-00e20502.png,Zell,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-10-29', 'na': '2016-01-22'}",0,Card
Animal Crossing,Bruce,Animal Crossing,02d90001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02d90001-01c80502.png,Bruce,"{'au': '2016-06-18', 'eu': None, 'jp': '2016-03-24', 'na': '2016-06-10'}",01c80502,Card
Animal Crossing,Deirdre,Animal Crossing,02da0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02da0001-01330502.png,Deirdre,"{'au': '2016-03-19', 'eu': '2016-03-18', 'jp': '2016-01-14', 'na': '2016-03-18'}",1330502,Card
Animal Crossing,Lopez,Animal Crossing,02db0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02db0001-005e0502.png,Lopez,"{'au': '2015-10-03', 'eu': '2015-10-02', 'jp': '2015-07-30', 'na': '2015-09-25'}",005e0502,Card
Animal Crossing,Fuchsia,Animal Crossing,02dc0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02dc0001-00be0502.png,Fuchsia,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-10-29', 'na': '2016-01-22'}",00be0502,Card
Animal Crossing,Beau,Animal Crossing,02dd0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02dd0001-00ea0502.png,Beau,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-10-29', 'na': '2016-01-22'}",00ea0502,Card
Animal Crossing,Diana,Animal Crossing,02de0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02de0001-009c0502.png,Diana,"{'au': '2015-10-03', 'eu': '2015-10-02', 'jp': '2015-07-30', 'na': '2015-09-25'}",009c0502,Card
Animal Crossing,Erik,Animal Crossing,02df0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02df0001-01910502.png,Erik,"{'au': '2016-06-18', 'eu': None, 'jp': '2016-03-24', 'na': '2016-06-10'}",1910502,Card
Animal Crossing,Chelsea,Animal Crossing,2E+101,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02e00101-031d0502.png,Chelsea,"{'au': None, 'eu': '2016-11-25', 'jp': '2016-11-03', 'na': None}",031d0502,Card
Animal Crossing,Goldie,Animal Crossing,02ea0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02ea0001-01800502.png,Goldie,"{'au': '2016-06-18', 'eu': None, 'jp': '2016-03-24', 'na': '2016-06-10'}",1800502,Card
Animal Crossing,Goldie,Animal Crossing,02ea0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02ea0001-01d50502.png,Goldie - Amiibo Festival,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-11-21', 'na': '2015-11-13'}",01d50502,Card
Animal Crossing,Butch,Animal Crossing,02eb0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02eb0001-00de0502.png,Butch,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-10-29', 'na': '2016-01-22'}",00de0502,Card
Animal Crossing,Lucky,Animal Crossing,02ec0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02ec0001-01c40502.png,Lucky,"{'au': '2016-06-18', 'eu': None, 'jp': '2016-03-24', 'na': '2016-06-10'}",01c40502,Card
Animal Crossing,Biskit,Animal Crossing,02ed0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02ed0001-015a0502.png,Biskit,"{'au': '2016-03-19', 'eu': '2016-03-18', 'jp': '2016-01-14', 'na': '2016-03-18'}",015a0502,Card
Animal Crossing,Bones,Animal Crossing,02ee0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02ee0001-01990502.png,Bones,"{'au': '2016-06-18', 'eu': None, 'jp': '2016-03-24', 'na': '2016-06-10'}",1990502,Card
Animal Crossing,Portia,Animal Crossing,02ef0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02ef0001-00580502.png,Portia,"{'au': '2015-10-03', 'eu': '2015-10-02', 'jp': '2015-07-30', 'na': '2015-09-25'}",580502,Card
Animal Crossing,Walker,Animal Crossing,02f00001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02f00001-00a70502.png,Walker,"{'au': '2015-10-03', 'eu': '2015-10-02', 'jp': '2015-07-30', 'na': '2015-09-25'}",00a70502,Card
Animal Crossing,Daisy,Animal Crossing,02f10001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02f10001-01450502.png,Daisy,"{'au': '2016-03-19', 'eu': '2016-03-18', 'jp': '2016-01-14', 'na': '2016-03-18'}",1450502,Card
Animal Crossing,Cookie,Animal Crossing,02f20001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02f20001-00cc0502.png,Cookie,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-10-29', 'na': '2016-01-22'}",00cc0502,Card
Animal Crossing,Maddie,Animal Crossing,02f30001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02f30001-02f90502.png,Maddie,"{'au': '2016-11-10', 'eu': '2016-11-11', 'jp': '2016-11-03', 'na': '2016-12-02'}",02f90502,Card
Animal Crossing,Bea,Animal Crossing,02f40001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02f40001-03050502.png,Bea,"{'au': '2016-11-10', 'eu': '2016-11-11', 'jp': '2016-11-03', 'na': '2016-12-02'}",3050502,Card
Animal Crossing,Mac,Animal Crossing,02f80001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02f80001-01380502.png,Mac,"{'au': '2016-03-19', 'eu': '2016-03-18', 'jp': '2016-01-14', 'na': '2016-03-18'}",1380502,Card
Animal Crossing,Marcel,Animal Crossing,02f90001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02f90001-01020502.png,Marcel,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-10-29', 'na': '2016-01-22'}",1020502,Card
Animal Crossing,Benjamin,Animal Crossing,02fa0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02fa0001-00970502.png,Benjamin,"{'au': '2015-10-03', 'eu': '2015-10-02', 'jp': '2015-07-30', 'na': '2015-09-25'}",970502,Card
Animal Crossing,Cherry,Animal Crossing,02fb0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02fb0001-00900502.png,Cherry,"{'au': '2015-10-03', 'eu': '2015-10-02', 'jp': '2015-07-30', 'na': '2015-09-25'}",900502,Card
Animal Crossing,Shep,Animal Crossing,02fc0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_02fc0001-018f0502.png,Shep,"{'au': '2016-06-18', 'eu': None, 'jp': '2016-03-24', 'na': '2016-06-10'}",018f0502,Card
Animal Crossing,Bill,Animal Crossing,3070001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_03070001-00640502.png,Bill,"{'au': '2015-10-03', 'eu': '2015-10-02', 'jp': '2015-07-30', 'na': '2015-09-25'}",640502,Card
Animal Crossing,Joey,Animal Crossing,3080001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_03080001-014d0502.png,Joey,"{'au': '2016-03-19', 'eu': '2016-03-18', 'jp': '2016-01-14', 'na': '2016-03-18'}",014d0502,Card
Animal Crossing,Pate,Animal Crossing,3090001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_03090001-00c60502.png,Pate,"{'au': '2015-11-21', 'eu': '2015-11-20', 'jp': '2015-10-29', 'na': '2016-01-22'}",00c60502,Card
Animal Crossing,Maelle,Animal Crossing,030a0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_030a0001-01c70502.png,Maelle,"{'au': '2016-06-18', 'eu': None, 'jp': '2016-03-24', 'na': '2016-06-10'}",01c70502,Card
Animal Crossing,Deena,Animal Crossing,030b0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_030b0001-00790502.png,Deena,"{'au': '2015-10-03', 'eu': '2015-10-02', 'jp': '2015-07-30', 'na': '2015-09-25'}",790502,Card
Animal Crossing,Pompom,Animal Crossing,030c0001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_030c0001-01b80502.png,Pompom,"{'au': '2016-06-18', 'eu': None, 'jp': '2016-03-24', 'na': '2016-06-10'}",01b80502,Card
